DATE;VALUE
01/03/2024;396,3
02/03/2024;194,3
03/03/2024;349,1
04/03/2024;135,2
05/03/2024;338,5
06/03/2024;170,2
07/03/2024;220,1
08/03/2024;265,5
09/03/2024;479,4
10/03/2024;231,6
11/03/2024;275,2
12/03/2024;228,1
13/03/2024;256,2
14/03/2024;397,1
15/03/2024;107,6
16/03/2024;183,2
17/03/2024;68,9
18/03/2024;115,6
19/03/2024;219,9
20/03/2024;213,9
21/03/2024;205,2
22/03/2024;189,4
23/03/2024;285,1
24/03/2024;78,7
25/03/2024;223,6
26/03/2024;376,7
27/03/2024;271,7
28/03/2024;125,4
29/03/2024;156,1
30/03/2024;189,9
31/03/2024;68,7
01/04/2024;242,8
02/04/2024;136,5
03/04/2024;126,5
04/04/2024;185
05/04/2024;362,1
06/04/2024;140,1
07/04/2024;241,5
08/04/2024;340,2
09/04/2024;186,1
10/04/2024;166,4
11/04/2024;169
12/04/2024;67,6
13/04/2024;302,4
14/04/2024;434,3
15/04/2024;150,4
16/04/2024;276,5
17/04/2024;199,2
18/04/2024;352,7
19/04/2024;261,1
20/04/2024;494,3
21/04/2024;104,64
22/04/2024;176,46
23/04/2024;173,9
24/04/2024;272,36
25/04/2024;121,48
26/04/2024;300,28
27/04/2024;37,72
28/04/2024;169
29/04/2024;257,66
30/04/2024;272,36
02/05/2024;245,72
03/05/2024;114,44
06/05/2024;314,58
07/05/2024;344,08
08/05/2024;37,72
09/05/2024;295,38
10/05/2024;148,44
11/05/2024;293,24
12/05/2024;272,36
13/05/2024;90,82
14/05/2024;403,64
15/05/2024;350,82
16/05/2024;327,34
17/05/2024;306,36
18/05/2024;283,44
19/05/2024;417,84
20/05/2024;559,02
21/05/2024;314,9
22/05/2024;370,82
23/05/2024;575,4
24/05/2024;210,14
25/05/2024;254,92
26/05/2024;526,6
27/05/2024;365,92
28/05/2024;372,1
29/05/2024;396,6
30/05/2024;370,82
31/05/2024;499,96
01/06/2024;386,8
02/06/2024;212,8
03/06/2024;251,7
04/06/2024;474,18
05/06/2024;310,08
06/06/2024;385,52
07/06/2024;149,4
08/06/2024;136,18
09/06/2024;436,46
10/06/2024;226,32
11/06/2024;211,62
12/06/2024;221,42
13/06/2024;379,14
14/06/2024;126,38
15/06/2024;262,56
16/06/2024;408,54
17/06/2024;323,3
18/06/2024;234,64
19/06/2024;380,62
20/06/2024;221,42
21/06/2024;403,64
22/06/2024;169
23/06/2024;178,8
24/06/2024;221,42
25/06/2024;141,08
26/06/2024;196,92
27/06/2024;131,28
28/06/2024;159,2
29/06/2024;287,06
30/06/2024;131,28
01/07/2024;98,46
02/07/2024;192,02
03/07/2024;310,08
04/07/2024;60,74
05/07/2024;303,7
06/07/2024;164,1
07/07/2024;346,32
08/07/2024;139,6
09/07/2024;144,5
10/07/2024;83,76
11/07/2024;116,58
12/07/2024;154,3
13/07/2024;65,64
14/07/2024;172,42
15/07/2024;32,82
16/07/2024;60,74
17/07/2024;27,92
18/07/2024;312,02
19/07/2024;242,96
20/07/2024;200,34
21/07/2024;121,48
22/07/2024;106,78
23/07/2024;339,94
24/07/2024;330,14
25/07/2024;269,4
26/07/2024;461,42
27/07/2024;372,76
28/07/2024;78,86
29/07/2024;321,82
30/07/2024;650,48
31/07/2024;633,84
01/08/2024;335,04
02/08/2024;139,6
03/08/2024;358,06
04/08/2024;187,12
05/08/2024;392,36
06/08/2024;247,86
07/08/2024;279,2
08/08/2024;208,66
09/08/2024;218,46
10/08/2024;321,82
11/08/2024;443,3
12/08/2024;377,66
13/08/2024;382,56
14/08/2024;348,26
15/08/2024;446,72
16/08/2024;120
17/08/2024;312,02
18/08/2024;279,2
19/08/2024;121,48
20/08/2024;358,06
21/08/2024;190,54
22/08/2024;200,34
23/08/2024;353,16
24/08/2024;128,32
25/08/2024;167,52
26/08/2024;297,32
27/08/2024;32,82
28/08/2024;111,68
29/08/2024;23,02
30/08/2024;88,66
31/08/2024;143,02
01/09/2024;293,9
02/09/2024;233,16
03/09/2024;513,84
04/09/2024;298,8
05/09/2024;405,58
06/09/2024;274,3
07/09/2024;579,94
08/09/2024;138,12
09/09/2024;518,74
10/09/2024;289
11/09/2024;242,96
12/09/2024;310,54
13/09/2024;187,12
14/09/2024;65,64
15/09/2024;147,92
16/09/2024;336,52
17/09/2024;661,76
18/09/2024;121,48
19/09/2024;157,72
20/09/2024;195,44
21/09/2024;428,6
22/09/2024;679,88
23/09/2024;279,2
24/09/2024;448,2
25/09/2024;279,2
26/09/2024;261,08
27/09/2024;481,02
28/09/2024;362,98
29/09/2024;368,86
30/09/2024;427,14
01/10/2024;482,5
02/10/2024;373,76
03/10/2024;271,38
04/10/2024;267,94
05/10/2024;175,36
06/10/2024;656,4
07/10/2024;399,72
08/10/2024;584,88
09/10/2024;365,42
10/10/2024;487,4
11/10/2024;836,66
12/10/2024;216,02
13/10/2024;272,84
14/10/2024;528,06
15/10/2024;579,98
16/10/2024;441,84
17/10/2024;726,46
18/10/2024;521,7
19/10/2024;316,94
20/10/2024;547,66
21/10/2024;615,74
22/10/2024;272,84
23/10/2024;415,88
24/10/2024;497,2
25/10/2024;472,7
26/10/2024;513,36
27/10/2024;169
28/10/2024;599,58
29/10/2024;589,78
30/10/2024;523,16
31/10/2024;169
01/11/2024;225,82
02/11/2024;287,54
03/11/2024;406,08
04/11/2024;230,72
05/11/2024;588,32
06/11/2024;261,58
07/11/2024;230,72
08/11/2024;394,82
09/11/2024;539,32
10/11/2024;204,76
11/11/2024;342,9
12/11/2024;321,84
13/11/2024;194,96
14/11/2024;471,24
15/11/2024;359,06
16/11/2024;420,78
17/11/2024;297,34
18/11/2024;204,76
19/11/2024;368,86
20/11/2024;138,14
21/11/2024;261,58
22/11/2024;214,56
23/11/2024;246,88
24/11/2024;35,76
25/11/2024;373,76
26/11/2024;333,1
28/11/2024;204,76
29/11/2024;235,62
30/11/2024;194,96
01/12/2024;466,34
02/12/2024;272,84
03/12/2024;425,68
04/12/2024;318,4
05/12/2024;282,64
06/12/2024;143,04
07/12/2024;185,16
08/12/2024;339,46
09/12/2024;154,3
10/12/2024;61,72
11/12/2024;225,82
12/12/2024;196,42
13/12/2024;266,48
14/12/2024;334,56
15/12/2024;107,28
16/12/2024;276,28
17/12/2024;225,82
18/12/2024;138,14
19/12/2024;333,1
20/12/2024;267,94
21/12/2024;477,6
22/12/2024;240,52
23/12/2024;313,5
24/12/2024;220,92
25/12/2024;394,82
26/12/2024;56,82
27/12/2024;237,08
28/12/2024;261,58
29/12/2024;217,48
30/12/2024;287,54
31/12/2024;508,46
02/01/2025;282,64
03/01/2025;211,12
04/01/2025;313,5
05/01/2025;97,48
06/01/2025;25,96
07/01/2025;107,28
08/01/2025;128,34
09/01/2025;272,84
10/01/2025;164,1
11/01/2025;487,4
12/01/2025;154,3
13/01/2025;251,78
14/01/2025;261,58
15/01/2025;342,9
16/01/2025;328,2
17/01/2025;312,04
18/01/2025;138,14
20/01/2025;313,5
21/01/2025;251,78
22/01/2025;220,92
24/01/2025;230,72
25/01/2025;97,48
26/01/2025;47,02
27/01/2025;313,5
28/01/2025;277,74
29/01/2025;103,84
30/01/2025;272,84
31/01/2025;389,92
01/02/2025;349,26
02/02/2025;245,42
03/02/2025;796
04/02/2025;360,52
05/02/2025;760,24
06/02/2025;394,82
07/02/2025;508,46
08/02/2025;212,58
09/02/2025;297,34
10/02/2025;662,76
11/02/2025;432,04
12/02/2025;570,18
13/02/2025;396,28
14/02/2025;458
15/02/2025;292,44
16/02/2025;313,5
17/02/2025;592,7
18/02/2025;555,48
19/02/2025;646,6
20/02/2025;581,44
21/02/2025;695,08
22/02/2025;139,6
23/02/2025;190,06
24/02/2025;723,02
25/02/2025;355,62
26/02/2025;570,18
27/02/2025;610,84
28/02/2025;505,02
01/03/2025;241,98
02/03/2025;185,16
03/03/2025;737,72
04/03/2025;474,16
05/03/2025;591,24
06/03/2025;370,32
07/03/2025;554,02
08/03/2025;232,18
09/03/2025;241,98
10/03/2025;554,02
11/03/2025;420,78
12/03/2025;544,22
13/03/2025;365,42
14/03/2025;704,88
15/03/2025;225,82
16/03/2025;164,1
17/03/2025;401,18
18/03/2025;549,12
19/03/2025;623,56
20/03/2025;597,6
21/03/2025;636,8
22/03/2025;365,42
23/03/2025;204,76
